sentence,emotion
i would feel confused,fear
im feeling a little delicate right now,love
i forgive myself that i have accepted and allowed myself to want my partner to say that she loves me because i need confirmation so i can feel loved,love
i do give up at times when i feel there s no point in a friendship when one cant be bothered,anger
i know but this is my blog and i can be honest about my feelings no matter how petty i hope,anger
i feel funny again,suprise
i feel i feel as though i left myself in san francisco and am coming back to the timid person i don t want to be,fear
i have gone from feeling apprehensive to feeling strong within hours,fear
i guess i feel kind of disgusted with my blog and the fact that i thought i had a place to write about anything and everything,anger
i cannot think of a better place where i can feel accepted and helpful while at the same time being able to forget my own shortcomings,love
im feeling so sally field like these days surprised by all the love and always with a brown mop of hair atop my head,suprise
i feel people just don t know how to fish them properly and therefore are not as popular as they should be,joy
i hate yelling both the sound and the general feeling when a person is that angry so we try not to do that,anger
i need to get back to feeling good about what i am putting in my body,joy
i feelin this empty space i call home,sad
i spent a day feeling triumphant that id avoided it then barfed the next morning,joy
i am expected to be monogamous which to me feels like i am being faithful to someone who is with someone else,love
i feel no sense of chivalry or magnanimity whatsoever toward the defeated opposition,sad
i get mentally prepared for my day i feel fantastic by just being on the road running,joy
i feel what others feel when i love yet the beloved guides me to the cooling beauty of the moonlight glistening from the streams flowing through the garden,love
i had been away from home for a long time and when i came home i was delighted it was wonderful to see familiar,joy
i feel like my feast day will yet again be totally ignored even by many catholics,sad
i feel like our beloved state of new jersey bucks this trend,joy
i slid into you wanting to feel the frantic heat and friction of our bodies rubbing together but you had other ideas,fear
i walked jenny i tried to listen to my breathing to feel the hot pavement beneath my flip flops to watch jennys movements to listen to the birds to feel the warmth of the sun,love
i feel a little out of sorts with this boy who has been curious about real school since he was in nd grade,suprise
im feeling pretty overwhelmed by my various plans and its making me pessimistic,fear
i just stop caring its how i deal with pain even if it makes me feel like a heartless bitch,anger
i just feel this strange compulsion to write and watch some crazy g,suprise
i could see people feeling frightened and the fear of the screams from people,fear
i wouldn t be sympathetic to her and i m sure i won t always feel the way i do now if we end up parenting him but for now i m mostly impressed by her strength and resilience and sad that she still wasn t able to give her children the care they needed sad that she had to lose them,suprise
i believed my hematologist would feel insulted or ignored if i stopped the treatment,anger
i do feel for them but the march of civilization leaves many damaged along the road for the better good,sad
i feel like shes so much more adventurous and this is just not so adventurous,joy
i would be so nervous when a customer would get upset and i would feel like it is my fault but now i just wonder what they might have had happen that makes them so unhappy,sad
i feel like im going to break every somewhat delicate thing i pick up,love
i couldn t feel the fake lashes at all,sad
ill tell you how it makes me feel i feel calm,joy
i am feeling very intimidated about this whole thing,fear
i am so into other problems like trying to figure out how to edit or market ebooks that i simply am not writing a lot of political blogs and not feeling quite as irrationally irate over politics,anger
i don t want to self destruct second guess myself or sabotage myself as i sometimes do when i feel overwhelmed or un deserving,suprise
i like to see lively and happy scene i feel lively and happy too,joy
i have resolved that i will ask for help when i need it and continue to be vocal about when i am feeling overwhelmed,suprise
i feel there is about to be another evolution for me as a dj and i am curious as to what that is,suprise
i now know that i choose only to share thoughts that make others feel loved,love
i feel selfish for wanting this when i know i m lucky to have you i m so lucky to have met you much less that you decided i was worth caring about,anger
i feel very accepted in this family but the language and culture barriers are very unfamiliar to me,love
i am feeling a little mad and havent had any dairy since that day,anger
i feel so guilty even thinking about it,sad
i miss dicky and lynda makes me feel so self doubtful,fear
i feel more and more out of sync with the people around me almost as if someone isolated my life s frame in a moving picture by hitting the pause button while letting everyone else s keep moving,sad
i am nursing him right before bed i feel like i am being slowly tortured to death,anger
while cycling in the country,fear
i feel that im losing you each time again and again the times when you treasured that someone so much i wish my place hasnt been replaced but just because of that little misunderstanding is it worth it to replace me with someone else in your heart,love
i sometimes suspect that i am quite easily influenced by other people particularly when i am feeling uncertain about my own opinions and instincts,fear
i am expressive enough to not feel shy,fear
i still feel stunned about my discovery,suprise
i know that the feeling of being damaged goods and being told by abusers that no one would ever want garbage like you,sad
i asked spencer if he felt okay about things and he too was overwhelmed and didnt feel too hopeful,joy
i have this feeling to write but when i turn on my laptop everything goes blank,sad
i was disappointed it didnt rain furiously for the rest of the day since id got up esp early and was feeling superior on account of it,joy
i remember feeling very nervous about switching to etsy because i worried that no one would find my shop and my sales would decline,fear
i feel so reluctant to do so as i feel like i wont be staying out here much longer than a year if things keep going the way they are,fear
i feel like a whore and im ashamed of,sad
i was called more horrible nasty and hurtful names than i could ever imagine another human being feeling comfortable calling someone else,joy
i miss oc christmas i feel like we haven t had christmas in five years because it s been so cold and shit,anger
i feel the need to explain and justify how i have such an amazing apartment on a nanny s salary,suprise
i feel a little amazing when people who have the same kind of feelings tweet about it at the same time i mean its sad but i think its kinda magical isnt it,suprise
i was feeling depressed and anxious,sad
i feel like erasing that bashful past,fear
i was feelin a might horny and i had smoked up a shitload of weed,love
i feel like a grenade in the sense that when i blow up i not only hurt but also damage those closest to me and there is little if anything i can do about it,sad
im trying not to feel disappointed by this slow recovery i dont know what to expect in terms of recovery duration and will just have to compromise certain things or chores until im fully back on my toes,sad
im feeling a bit overwhelmed tonight and not really for any good reason,suprise
i feel like i am a celebrity for no reason like people are resentful i didn t have to play bars for years to get a record deal,anger
